Ciudad,Usuarios,Usuarios nuevos,Sesiones con interacción,Porcentaje de interacciones,Sesiones con interacción por usuario,Tiempo de interacción medio,Número de eventos,Conversiones,Total de ingresos
Sabadell,38,37,25,5681818181818180,6578947368421050,1498684210526310,635,104,0
Mostoles,37,34,30,5769230769230760,8108108108108100,13164864864864800,635,95,0
Burgos,36,31,25,5813953488372090,6944444444444440,42833333333333300,289,30,0
Mairena del Aljarafe,34,31,30,6976744186046510,8823529411764700,19741176470588200,824,42,0
Jaen,33,30,19,5135135135135130,5757575757575750,4778787878787870,272,34,0
Santiago de Compostela,33,29,24,6486486486486480,7272727272727270,6218181818181810,286,42,0
Leganes,32,28,39,7090909090909090,121875,5979375,1227,107,0
Leon,32,32,18,5454545454545450,5625,3696875,197,22,0
Fuenlabrada,31,26,54,574468085106383,17419354838709600,5165483870967740,1446,58,0
Badalona,30,27,29,6590909090909090,9666666666666660,18896666666666600,618,72,0
Oviedo,30,29,17,4594594594594590,5666666666666660,39.9,228,38,0
Santa Cruz de Tenerife,30,29,26,6666666666666660,8666666666666660,74.8,305,27,0
Getafe,29,25,27,5510204081632650,9310344827586200,10803448275862000,460,52,0
Jerez de la Frontera,29,27,15,45454545454545400,5172413793103440,6644827586206890,166,20,0
Santander,29,29,18,0.5,6206896551724130,11006896551724100,334,34,0
Alcobendas,28,23,24,6153846153846150,8571428571428570,17714285714285700,524,81,0
Dublin,28,27,15,4838709677419350,5357142857142850,9353571428571420,343,56,0
Las Rozas de Madrid,28,22,26,6190476190476190,9285714285714280,22382142857142800,559,54,0
Valdemoro,27,24,56,5490196078431370,2074074074074070,33455555555555500,910,24,0
Cartagena,26,24,16,0.5,6153846153846150,5769230769230760,277,27,0
Naron,25,24,13,0.5,0.52,47.84,216,36,0
Torrejon de Ardoz,25,22,44,6875,1.76,318.48,805,45,0
Donostia-San Sebastian,24,23,18,5625,0.75,58208333333333300,254,35,0
Vitoria-Gasteiz,24,22,13,43333333333333300,5416666666666660,49458333333333300,234,27,0
Alcorcon,23,17,37,5606060606060600,1608695652173910,34439130434782600,660,22,0
Coslada,23,19,24,6486486486486480,10434782608695600,4381304347826080,663,51,0
